English,简体中文
abjad; consonant alphabet,辅音音素文字
abugida; alphasyllabary,元音附标文字
alphabet,全音素文字
application internal identifiers,应用内部标识符
ASCII case-insensitive matching,ASCII大小写不敏感匹配
base direction,基方向
baseline,基线
Basic Multilingual Plane (BMP),基本多文种平面（BMP）
bidirectional text,双向文本
bilabial,双唇音
block (Unicode),区块，块（Unicode）
bound morpheme,粘着词素
calligraphy,书法
click consonant,搭嘴音
closed syllable,闭音节
code page,代码页
code point,码位
Common Locale Data Repository,公共区域设置数据存储库
consonant,辅音
consonant cluster,辅音丛
daylight saving time,夏时制，夏令时
Devanagari conjuncts,天城文合字
"diacritic, diacritical mark",附加符号
Egyptologist,埃及古物学者
free morpheme,自由词素
glottis,声门
grammatology,文字学
grapheme cluster,不翻译，或译为「字位丛」
inherent vowel,默认元音
International Phonetic Alphabet (IPA),国际音标
internationalized domain name (IDN),国际化域名
koiné language,共通语
larynx,喉
lexical item,词项
locale,区域设置
manner of articulation,调音方法，发音方法
morpheme,词素
Naskh,誊抄体
normalization,正常化
open syllable,开音节
place of articulation,调音部位，调音位置，发音部位，发音位置
plane (Unicode),平面（Unicode）
plosive,爆破音
register,（适合特定场合使用的）语体风格，语域
retroflex consonant,卷舌音
root,词根
Unicode,Unicode，统一码
Unicode Consortium,统一码联盟
Unicode control character,Unicode控制字符
variation selector,变体选择符
virama,怛达点画
vocal folds,声带
vowel,元音
