English,简体中文
addition,加法
Archimedes,阿基米德
axiom,公理
composite number,合数
division,除法
elementary arithmetic,四则运算
Euclidean algorithm,辗转相除法
Euclid's Elements,几何原本
Fermat's little theorem,费马小定理
formal science,形式科学
Goldbach's conjecture,哥德巴赫猜想
greatest common divisor; highest common factor,最大公约数
integer,整数
irrational number,无理数
Isaac Newton,艾萨克·牛顿
linear algebra,线性代数
mathematical symbol,数学符号
multiplication,乘法
natural number,自然数
number theory,数论
prime,质数、素数
probability,概率
Pythagorean theorem,勾股定理
rational number,有理数
real number,实数
subtraction,减法
